Designator,Mid X,Mid Y,Rotation,Layer
C1,32.8,-55.4,270.0,top
C2,38.6,-55.1,270.0,top
C3,48.04,-59.975,0.0,bottom
C4,47.94,-65.675,180.0,bottom
C5,41.7,-55.3,90.0,top
C6,47.3,-55.1,270.0,top
C7,35.2,-48.0,90.0,top
C8,47.4,-48.0,90.0,top
C9,34.4,-59.1,90.0,bottom
D1,50.8,-53.7,270.0,bottom
D2,31.5,-53.9,270.0,bottom
FPC1,41.1,-75.5975,0.0,bottom
IC1,41.15,-67.7475,0.0,top
J1,41.3,-48.175,180.0,top
R1,41.6,-48.2,0.0,bottom
R10,45.3,-57.1,180.0,bottom
R11,40.8,-57.8,0.0,bottom
R2,39.99,-51.38,270.0,bottom
R3,41.99,-51.28,270.0,bottom
R4,35.2,-51.34,270.0,top
R5,47.4,-51.34,270.0,top
R6,33.7,-51.7,90.0,top
R7,48.9,-52.5,90.0,top
R8,44.0,-69.3,270.0,bottom
R9,45.8,-68.4,270.0,bottom
SW1,32.1,-47.7,90.0,top
SW2,50.3,-47.9,90.0,top
U1,35.7,-55.25,0.0,top
U2,48.0,-62.8625,90.0,bottom
U3,44.5,-55.2,180.0,top
